contrast,energy,homogeneity,correlation,lbp_mean,lbp_std,label
12.527580004378963,0.04470610630564577,0.4912271580768622,0.9923886540483542,5.194580078125,2.2949832599627755,CGA
8.034550174569205,0.04980336777856927,0.5381981959993,0.995308321722182,5.2392578125,2.154949072216143,CGA
11.066990649606506,0.050322848157855815,0.5420237292363286,0.992245518895734,5.302001953125,2.22536555459068,CGA
8.018706478819304,0.043615475028357095,0.5853897487650818,0.9967459377642369,5.20648193359375,1.8817987354206178,CGA
9.17321902221941,0.04635801071012277,0.49281895905102324,0.9932579529290935,5.220458984375,2.311202419795991,CGA
8.947011933086507,0.05191559693068014,0.5544134520251376,0.9933110700050478,5.29949951171875,2.1949837928955147,CGA
6.980046131967365,0.05808082110000062,0.585686465619258,0.9933544020608637,5.423828125,2.1899391744170624,CGA
8.457722575601514,0.05476468887934332,0.5660850467678167,0.9928409102024187,5.36383056640625,2.2332028994344104,CGA
7.225110704127763,0.0503767851933889,0.5364836798088906,0.9962666968625818,5.26605224609375,2.212238440401988,CGA
7.693963755115127,0.05060104400961605,0.5466283847881522,0.9958133766575279,5.28253173828125,2.1862602595145266,CGA
8.088286844542555,0.054084779305329025,0.5649167083773613,0.9955976863778891,5.3087158203125,2.1310019126372883,CGA
8.282399545267971,0.0520978151044075,0.5464433359157654,0.9958128861959944,5.26318359375,2.1714696162779563,CGA
7.959537653450446,0.05646868613932186,0.571908470535372,0.9950069435255927,5.372802734375,2.1823169749271125,CGA
9.840173246752878,0.049724986064508016,0.5291411227118178,0.9944199771396778,5.2305908203125,2.193474373388622,CGA
8.02929033592455,0.052446171465512184,0.552905284320782,0.9957287543078687,5.30975341796875,2.1741922412905272,CGA
6.6291035121133834,0.04967516122436988,0.5379304635487603,0.9965616733055161,5.2769775390625,2.2066278105782544,CGA
7.229708037541187,0.05138181021874731,0.5452862947318718,0.9962238707040116,5.27789306640625,2.196629287977282,CGA
7.279910458258518,0.05155754718987246,0.5476994571562283,0.9962953216890985,5.27740478515625,2.163007347280902,CGA
8.867388273839193,0.0530347564902758,0.5559026849839447,0.9953281980891717,5.28875732421875,2.1437148249426223,CGA
7.488420992467095,0.05358572450363592,0.5649577107953787,0.995560647387765,5.3382568359375,2.157005367793866,CGA
8.56342963857817,0.0525250502079134,0.5577969942823723,0.9953502040244638,5.32269287109375,2.175762634437411,CGA
7.140945777985419,0.05419435773065036,0.5703925834469643,0.9949981271345474,5.36285400390625,2.1964914670487463,CGA
7.583848386446892,0.05574892301774792,0.5755520585170906,0.9944470752027195,5.3719482421875,2.1727649285693857,CGA
6.7539674024661664,0.050901369098694776,0.5525039628540771,0.9964793647030632,5.2930908203125,2.138579341332359,CGA
10.844618970488096,0.04787849491194175,0.5244967605109754,0.994012270911168,5.21600341796875,2.1723606120749306,CGA
7.2872297424283605,0.05316640586787394,0.5481394986648764,0.9961773793766715,5.2738037109375,2.1621256640750217,CGA
10.941008214047857,0.046733086780814975,0.49341610319515466,0.9948373671779331,5.18133544921875,2.2524164050831907,CGA
